Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Tim Boetsch,win,Todd Brown,0,60,3,1,"UFC 117: Silva vs Sonnen                                   Aug. 07, 2010",U-DEC,3,5:00
Tim Boetsch,loss,Jason Brilz,0,27,0,0,"UFC 96: Jackson vs Jardine                                   Mar. 07, 2009",U-DEC,3,5:00
Tim Boetsch,win,Michael Patt,1,15,0,0,"UFC 88: Breakthrough                                   Sep. 06, 2008",KO/TKO,1,2:03
Tim Boetsch,loss,Matt Hamill,0,18,0,0,"UFC Fight Night: Florian vs Lauzon                                   Apr. 02, 2008",KO/TKO,2,1:25
Tim Boetsch,win,David Heath,0,42,1,0,"UFC 81: Breaking Point                                   Feb. 02, 2008",KO/TKO,1,4:52
Galore Bofando,loss,Chad Laprise,1,13,0,0,"UFC Fight Night: Lawler vs. Dos Anjos                                   Dec. 16, 2017",KO/TKO,1,4:10
Galore Bofando,win,Charlie Ward,0,10,1,0,"UFC Fight Night: Nelson vs. Ponzinibbio                                   Jul. 16, 2017",KO/TKO,1,2:10
Roman Bogatov,loss,Leonardo Santos,0,50,1,0,"UFC 251: Usman vs. Masvidal                                   Jul. 11, 2020",U-DEC,3,5:00
Jerry Bohlander,loss,Tito Ortiz,0,9,0,0,"UFC 18: The Road to the Heavyweight Title                                   Jan. 08, 1999",KO/TKO,2,2:31
Jerry Bohlander,win,Kevin Jackson,0,5,0,2,"UFC 16: Battle in the Bayou                                   Mar. 13, 1998",SUB,1,10:23
Jerry Bohlander,win,Nick Sanzo,0,2,1,1,"UFC 12: Judgement Day                                   Feb. 07, 1997",SUB,1,0:39
Jerry Bohlander,win,Rainy Martinez,0,0,1,1,"UFC 12: Judgement Day                                   Feb. 07, 1997",SUB,1,1:24
Jerry Bohlander,win,Fabio Gurgel,0,18,1,0,"UFC 11: The Proving Ground                                   Sep. 20, 1996",U-DEC,1,15:00
Jerry Bohlander,loss,Gary Goodridge,0,1,0,0,"UFC 8: David vs Goliath                                   Feb. 16, 1996",KO/TKO,1,5:31
Jerry Bohlander,win,Scott Ferrozzo,0,7,0,1,"UFC 8: David vs Goliath                                   Feb. 16, 1996",SUB,1,9:03
Mandy Bohm,win,Ji Yeon Kim,0,17,2,1,"UFC Fight Night: Rozenstruik vs. Almeida                                   May. 13, 2023",S-DEC,3,1:55
Mandy Bohm,loss,Victoria Leonardo,0,52,0,1,"UFC Fight Night: Blaydes vs. Aspinall                                   Jul. 23, 2022",U-DEC,3,5:00
Mandy Bohm,loss,Ariane da Silva,0,36,0,0,"UFC Fight Night: Smith vs. Spann                                   Sep. 18, 2021",U-DEC,3,5:00
Kotetsu Boku,loss,Joachim Hansen,0,37,0,0,"DREAM 1: Lightweight Grand Prix 2008 1st Round                                   Mar. 15, 2008",U-DEC,2,5:00
Gaston Bolanos,loss,Quang Le,0,5,0,0,"UFC Fight Night: Sandhagen vs. Figueiredo                                   May. 03, 2025",SUB,2,1:54
Gaston Bolanos,win,Cortavious Romious,0,53,2,0,"UFC Fight Night: Magny vs. Prates                                   Nov. 09, 2024",U-DEC,3,5:00
Gaston Bolanos,loss,Marcus McGhee,0,28,0,0,"UFC Fight Night: Ankalaev vs. Walker 2                                   Jan. 13, 2024",KO/TKO,2,3:29
Gaston Bolanos,win,Aaron Phillips,0,63,0,0,"UFC Fight Night: Holloway vs. Allen                                   Apr. 15, 2023",U-DEC,3,5:00
Denys Bondar,loss,Ronaldo Rodriguez,0,41,4,0,"UFC Fight Night: Moreno vs. Royval 2                                   Feb. 24, 2024",SUB,2,4:59
Denys Bondar,loss,Carlos Hernandez,0,76,2,0,"UFC Fight Night: Vettori vs. Cannonier                                   Jun. 17, 2023",U-DEC,3,4:59
Denys Bondar,loss,Malcolm Gordon,0,4,1,0,"UFC Fight Night: Hermansson vs. Strickland                                   Feb. 05, 2022",KO/TKO,1,1:22
Tony Bonello,loss,Murilo Rua,0,2,0,0,"EliteXC - Return of the King                                   Jun. 14, 2008",KO/TKO,1,3:15
Gabriel Bonfim,win,Khaos Williams,0,35,4,2,"UFC Fight Night: Cannonier vs. Rodrigues                                   Feb. 15, 2025",SUB,2,4:58
Gabriel Bonfim,win,Ange Loosa,0,101,1,0,"UFC Fight Night: Namajunas vs. Cortez                                   Jul. 13, 2024",U-DEC,3,5:00
Gabriel Bonfim,loss,Nicolas Dalby,0,39,3,1,"UFC Fight Night: Almeida vs. Lewis                                   Nov. 04, 2023",KO/TKO,2,4:33
Gabriel Bonfim,win,Trevin Giles,0,3,1,1,"UFC 291: Poirier vs. Gaethje 2                                   Jul. 29, 2023",SUB,1,1:13
Gabriel Bonfim,win,Mounir Lazzez,0,9,0,1,"UFC 283: Teixeira vs. Hill                                   Jan. 21, 2023",SUB,1,0:49
Gabriel Bonfim,win,Trey Waters,0,26,1,1,"DWCS 6.7                                   Sep. 06, 2022",SUB,1,4:13
