Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Danny Chavez,loss,Ricardo Ramos,0,3,0,0,"UFC Fight Night: Kattar vs. Emmett                                   Jun. 18, 2022",KO/TKO,1,1:12
Danny Chavez,draw,Kai Kamaka,0,41,1,0,"UFC Fight Night: Hall vs. Strickland                                   Jul. 31, 2021",M-DEC,3,5:00
Danny Chavez,loss,Jared Gordon,0,39,1,0,"UFC Fight Night: Blaydes vs. Lewis                                   Feb. 20, 2021",U-DEC,3,5:00
Danny Chavez,win,TJ Brown,0,49,4,0,"UFC 252: Miocic vs. Cormier 3                                   Aug. 15, 2020",U-DEC,3,5:00
Albert Cheng,loss,Anying Wang,0,5,0,0,"UFC Fight Night: Kim vs Hathaway                                   Mar. 01, 2014",KO/TKO,1,5:00
Fabio Cherant,loss,Carlos Ulberg,0,13,0,0,"UFC 271: Adesanya vs. Whittaker 2                                   Feb. 12, 2022",U-DEC,3,5:00
Fabio Cherant,loss,William Knight,0,15,0,0,"UFC Fight Night: Cannonier vs. Gastelum                                   Aug. 21, 2021",KO/TKO,1,3:58
Fabio Cherant,loss,Alonzo Menifield,0,0,0,0,"UFC 260: Miocic vs. Ngannou                                   Mar. 27, 2021",SUB,1,1:11
Fabio Cherant,loss,Aleksa Camur,0,7,0,0,"DWCS 3.6                                   Jul. 30, 2019",KO/TKO,2,0:48
Mark Cherico,loss,Mike Santiago,0,11,1,0,"DWCS 1.7                                   Aug. 22, 2017",KO/TKO,1,2:59
Macy Chiasson,loss,Ketlen Vieira,0,22,0,0,"UFC Fight Night: Blanchfield vs. Barber                                   May. 31, 2025",U-DEC,3,5:00
Macy Chiasson,win,Mayra Bueno Silva,0,50,1,0,"UFC 303: Pereira vs. Prochazka 2                                   Jun. 29, 2024",KO/TKO,2,1:58
Macy Chiasson,win,Pannie Kianzad,0,4,2,1,"UFC Fight Night: Tuivasa vs. Tybura                                   Mar. 16, 2024",SUB,1,3:54
Macy Chiasson,loss,Irene Aldana,0,39,3,0,"UFC 279: Diaz vs. Ferguson                                   Sep. 10, 2022",KO/TKO,3,2:21
Macy Chiasson,win,Norma Dumont,0,32,6,0,"UFC 274: Oliveira vs. Gaethje                                   May. 07, 2022",S-DEC,3,5:00
Macy Chiasson,loss,Raquel Pennington,0,26,1,0,"UFC Fight Night: Lewis vs. Daukaus                                   Dec. 18, 2021",SUB,2,3:07
